City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
7,Padang,ID,75.6,broken clouds,-0.9492,100.3543,Mercure Padang
9,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
10,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
14,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
15,Dingle,PH,78.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
23,Manado,ID,77.77,light rain,1.4869999999999999,124.8455,Aryaduta Hotel
29,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
32,Lufilufi,WS,89.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
35,Buchanan,LR,76.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
36,Ciudad Bolivar,VE,82.71,broken clouds,8.1222,-63.5497,Hotel Edi
39,Boysun,UZ,78.04,clear sky,38.2061,67.1986,Gaza Hotel
44,Bubaque,GW,79.32,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
51,Mandiana,GN,85.64,clear sky,10.6333,-8.6833,Centre d'accueil de Mandiana
54,Shelburne,CA,86.49,few clouds,44.0787,-80.2041,The Retreat at the Farm
59,Hamilton,US,84.97,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
60,Kollam,IN,80.47,scattered clouds,8.8833,76.6,Nani Hotels and Resorts
61,Itarema,BR,77.4,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
75,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
78,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Hithadhoo,MV,82.74,few clouds,-0.6,73.0833,Scoop Guest House
92,Hobyo,SO,78.37,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
104,Rikitea,PF,76.77,overcast clouds,-23.1203,-134.9692,Pension Maro'i
109,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
111,Jamestown,US,83.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
113,Namatanai,PG,82.0,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
117,Butaritari,KI,82.58,light rain,3.0707,172.7902,Isles Sunset Lodge
120,Kavieng,PG,82.31,light rain,-2.5744,150.7967,Nusa Island Retreat
124,Sinnamary,GF,76.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
126,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel
128,Port-Gentil,GA,80.56,overcast clouds,-0.7193,8.7815,Fengshui Residence
129,Hambantota,LK,79.45,overcast clouds,6.1241,81.1185,Bungalow 63
