City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,90.45,46,1,9.22,clear sky
1,Ushuaia,AR,-54.8,-68.3,44.26,57,40,12.66,scattered clouds
2,Avarua,CK,-21.2078,-159.775,75.25,60,75,5.75,broken clouds
3,Cape Town,ZA,-33.9258,18.4232,72.01,27,0,13.22,clear sky
4,Tiksi,RU,71.6872,128.8694,43.83,64,100,1.54,overcast clouds
5,Provideniya,RU,64.3833,-173.3,44.71,61,75,6.71,broken clouds
6,Nikolskoye,RU,59.7035,30.7861,60.69,83,70,3.65,broken clouds
7,Padang,ID,-0.9492,100.3543,75.6,78,78,3.83,broken clouds
8,Tazovskiy,RU,67.4667,78.7,32.09,86,94,9.01,overcast clouds
9,Hilo,US,19.7297,-155.09,80.33,72,90,13.8,light rain
10,Vaini,TO,-21.2,-175.2,77.16,78,75,13.8,broken clouds
11,Yeniseysk,RU,58.4497,92.1703,54.39,94,100,9.42,overcast clouds
12,Chokurdakh,RU,70.6333,147.9167,38.88,68,99,5.77,overcast clouds
13,Somerset West,ZA,-34.084,18.8211,71.98,40,3,7.0,clear sky
14,Bathsheba,BB,13.2167,-59.5167,81.21,69,20,20.87,few clouds
15,Dingle,PH,10.9995,122.6711,78.48,82,100,2.04,overcast clouds
16,Albany,US,42.6001,-73.9662,89.17,59,46,5.03,scattered clouds
17,Naze,JP,28.3667,129.4833,74.32,94,100,3.4,light rain
18,Hobart,AU,-42.8794,147.3294,57.25,73,75,10.25,broken clouds
19,Barrow,US,71.2906,-156.7887,32.02,86,90,13.8,mist
20,Karratha,AU,-20.7377,116.8463,74.23,58,76,9.55,broken clouds
21,Upernavik,GL,72.7868,-56.1549,37.78,84,66,4.56,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,11.81,clear sky
23,Manado,ID,1.487,124.8455,77.77,94,40,3.51,light rain
24,Severo-Kurilsk,RU,50.6789,156.125,43.0,93,100,10.89,overcast clouds
25,Evensk,RU,61.95,159.2333,43.97,81,100,4.25,overcast clouds
26,Ponta Do Sol,PT,32.6667,-17.1,66.83,76,4,5.88,clear sky
27,Cabedelo,BR,-6.9811,-34.8339,74.07,86,39,12.82,scattered clouds
28,Carnarvon,AU,-24.8667,113.6333,60.87,67,90,9.22,overcast clouds
29,Mahebourg,MU,-20.4081,57.7,75.49,78,40,9.22,light rain
30,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,57,0,11.5,clear sky
31,Busselton,AU,-33.65,115.3333,46.09,78,0,7.83,clear sky
32,Lufilufi,WS,-13.8745,-171.5986,89.38,74,36,5.06,light rain
33,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,69,90,9.22,overcast clouds
34,Mount Isa,AU,-20.7333,139.5,60.57,41,0,3.44,clear sky
35,Buchanan,LR,5.8808,-10.0467,76.96,84,99,8.79,overcast clouds
36,Ciudad Bolivar,VE,8.1222,-63.5497,82.71,67,82,12.62,broken clouds
37,Qaanaaq,GL,77.484,-69.3632,40.37,76,59,5.39,broken clouds
38,Khatanga,RU,71.9667,102.5,34.41,89,97,6.98,overcast clouds
39,Boysun,UZ,38.2061,67.1986,78.04,18,6,5.12,clear sky
40,Carballo,ES,43.213,-8.691,59.86,90,86,5.61,overcast clouds
41,Fortuna,US,40.5982,-124.1573,71.19,60,20,4.0,few clouds
42,Eureka,US,40.8021,-124.1637,69.67,71,68,8.01,broken clouds
43,Sao Filipe,CV,14.8961,-24.4956,74.62,71,36,11.3,scattered clouds
44,Bubaque,GW,11.2833,-15.8333,79.32,86,35,14.88,scattered clouds
45,Mataura,NZ,-46.1927,168.8643,49.48,77,59,3.38,broken clouds
46,Airai,TL,-8.9266,125.4092,59.95,72,47,2.55,scattered clouds
47,Oksovskiy,RU,62.6062,39.8984,47.1,70,77,9.8,broken clouds
48,Beloha,MG,-25.1667,45.05,61.23,79,16,12.19,few clouds
49,Castro,BR,-24.7911,-50.0119,60.35,71,96,3.49,overcast clouds
50,Narsaq,GL,60.9167,-46.05,55.62,66,100,3.4,overcast clouds
51,Mandiana,GN,10.6333,-8.6833,85.64,41,1,6.55,clear sky
52,Tura,IN,25.5198,90.2201,71.94,98,82,7.47,moderate rain
53,Bilibino,RU,68.0546,166.4372,66.9,39,6,6.58,clear sky
54,Shelburne,CA,44.0787,-80.2041,86.49,72,12,9.42,few clouds
55,Hermanus,ZA,-34.4187,19.2345,66.9,44,1,11.43,clear sky
56,Pemberton,CA,50.3164,-122.8027,55.09,75,100,4.9,overcast clouds
57,New Norfolk,AU,-42.7826,147.0587,56.91,78,100,1.99,overcast clouds
58,Gondanglegi,ID,-7.7479,112.0132,73.76,94,29,6.55,scattered clouds
59,Hamilton,US,39.1834,-84.5333,84.97,56,1,8.55,clear sky
60,Kollam,IN,8.8833,76.6,80.47,83,40,4.72,scattered clouds
61,Itarema,BR,-2.9248,-39.9167,77.4,86,26,8.16,scattered clouds
62,Asau,RO,46.4333,26.4,56.95,76,4,4.85,clear sky
63,Hasaki,JP,35.7333,140.8333,70.29,83,100,1.12,overcast clouds
64,Wainwright,CA,52.839,-110.8572,69.71,39,48,11.72,scattered clouds
